app,sched,plat_size,wildmetric,app_time
leanmd,Distributed,128,10,27.685071
leanmd,Distributed,128,10,27.596831
leanmd,Distributed,128,10,27.726705
leanmd,Distributed,128,10,27.664599
leanmd,Distributed,128,10,27.558003
leanmd,Distributed,128,10,27.757190
leanmd,Distributed,128,10,27.637462
leanmd,Distributed,128,10,27.709038
leanmd,Distributed,128,10,27.702734
leanmd,Distributed,128,10,27.652334
leanmd,Greedy,128,30,104.386747
leanmd,Greedy,128,30,73.415017
leanmd,Greedy,128,30,72.690747
leanmd,Greedy,128,30,72.849202
leanmd,Greedy,128,30,72.936053
leanmd,Greedy,128,30,72.636451
leanmd,Greedy,128,30,72.935991
leanmd,Greedy,128,30,72.788212
leanmd,Greedy,128,30,72.529712
leanmd,Greedy,128,30,72.676305
leanmd,Dummy,128,10,33.999206
leanmd,Dummy,128,10,34.155628
leanmd,Dummy,128,10,34.139579
leanmd,Dummy,128,10,34.047564
leanmd,Dummy,128,10,33.984956
leanmd,Dummy,128,10,34.098964
leanmd,Dummy,128,10,34.067470
leanmd,Dummy,128,10,34.052216
leanmd,Dummy,128,10,34.052112
leanmd,Dummy,128,10,34.000849
leanmd,PackDrop,128,30,23.877671
leanmd,PackDrop,128,30,23.775810
leanmd,PackDrop,128,30,23.768057
leanmd,PackDrop,128,30,23.644627
leanmd,PackDrop,128,30,24.008732
leanmd,PackDrop,128,30,23.905688
leanmd,PackDrop,128,30,24.047584
leanmd,PackDrop,128,30,23.826144
leanmd,PackDrop,128,30,23.812381
leanmd,Refine,128,10,31.642883
leanmd,Refine,128,10,31.820342
leanmd,Refine,128,10,31.694728
leanmd,Refine,128,10,31.752947
leanmd,Refine,128,10,31.582608
leanmd,Refine,128,10,31.837862
leanmd,Refine,128,10,31.642774
leanmd,Refine,128,10,31.756140
leanmd,Refine,128,10,31.852113
leanmd,Refine,128,10,31.629152
leanmd,Distributed,128,30,27.461184
leanmd,Distributed,128,30,27.507483
leanmd,Distributed,128,30,27.767533
leanmd,Distributed,128,30,27.233058
leanmd,Distributed,128,30,27.325101
leanmd,Distributed,128,30,27.485241
leanmd,Distributed,128,30,27.648830
leanmd,Distributed,128,30,27.629445
leanmd,Distributed,128,30,27.711155
leanmd,Greedy,128,10,118.518403
leanmd,Greedy,128,10,118.189549
leanmd,Greedy,128,10,118.587745
leanmd,Greedy,128,10,118.081654
leanmd,Greedy,128,10,118.159291
leanmd,Greedy,128,10,118.174019
leanmd,Greedy,128,10,118.611276
leanmd,Greedy,128,10,118.179479
leanmd,Greedy,128,10,118.296008
leanmd,Greedy,128,10,118.538595
leanmd,Dummy,128,30,75.787516
leanmd,Dummy,128,30,29.511307
leanmd,Dummy,128,30,29.562016
leanmd,Dummy,128,30,29.462018
leanmd,Dummy,128,30,29.463436
leanmd,Dummy,128,30,29.516089
leanmd,Dummy,128,30,29.294152
leanmd,Dummy,128,30,29.476479
leanmd,Dummy,128,30,29.419856
leanmd,Dummy,128,30,29.455890
leanmd,PackDrop,128,10,23.982016
leanmd,PackDrop,128,10,24.000646
leanmd,PackDrop,128,10,23.696440
leanmd,PackDrop,128,10,23.775335
leanmd,PackDrop,128,10,23.882101
leanmd,PackDrop,128,10,23.906628
leanmd,PackDrop,128,10,23.892335
leanmd,PackDrop,128,10,23.840558
leanmd,PackDrop,128,10,23.741640
leanmd,PackDrop,128,10,23.910410
leanmd,Refine,128,30,26.831536
leanmd,Refine,128,30,26.954439
leanmd,Refine,128,30,26.857747
leanmd,Refine,128,30,27.065268
leanmd,Refine,128,30,27.271136
leanmd,Refine,128,30,27.021457
leanmd,Refine,128,30,26.992050
leanmd,Refine,128,30,26.309850
leanmd,Refine,128,30,26.697123
