sched,app,topo,app_time
dist,lbtest,mesh2d,48.766051
dist,lbtest,mesh2d,48.553785
dist,lbtest,mesh2d,48.623342
dist,lbtest,mesh2d,48.754088
dist,lbtest,mesh2d,48.463498
dist,lbtest,mesh2d,48.818376
dist,lbtest,mesh2d,48.497177
dist,lbtest,mesh2d,48.887440
dist,lbtest,mesh2d,48.446260
dist,lbtest,mesh2d,48.338374
dist,lbtest,mesh2d,48.718909
dist,lbtest,mesh2d,48.643373
dist,lbtest,mesh2d,48.895784
dist,lbtest,mesh2d,48.870725
dist,lbtest,mesh2d,48.448651
dist,lbtest,mesh3d,48.920811
dist,lbtest,mesh3d,49.070334
dist,lbtest,mesh3d,49.141308
dist,lbtest,mesh3d,49.046956
dist,lbtest,mesh3d,48.931317
dist,lbtest,mesh3d,49.091316
dist,lbtest,mesh3d,49.053465
dist,lbtest,mesh3d,49.172510
dist,lbtest,mesh3d,49.035028
dist,lbtest,mesh3d,49.026341
dist,lbtest,mesh3d,49.028565
dist,lbtest,mesh3d,49.049683
dist,lbtest,mesh3d,49.113312
dist,lbtest,mesh3d,49.080381
dist,lbtest,mesh3d,49.060881
dist,lbtest,ring,47.619351
dist,lbtest,ring,47.435265
dist,lbtest,ring,47.580633
dist,lbtest,ring,47.547919
dist,lbtest,ring,47.553156
dist,lbtest,ring,47.489751
dist,lbtest,ring,47.400089
dist,lbtest,ring,47.591521
dist,lbtest,ring,47.470135
dist,lbtest,ring,47.469697
dist,lbtest,ring,47.316584
dist,lbtest,ring,47.447418
dist,lbtest,ring,47.445885
dist,lbtest,ring,47.481042
dist,lbtest,ring,47.546288
greedy,lbtest,mesh2d,49.710211
greedy,lbtest,mesh2d,49.540070
greedy,lbtest,mesh2d,49.579145
greedy,lbtest,mesh2d,49.530155
greedy,lbtest,mesh2d,49.715700
greedy,lbtest,mesh2d,49.488417
greedy,lbtest,mesh2d,49.487311
greedy,lbtest,mesh2d,49.417519
greedy,lbtest,mesh2d,49.466379
greedy,lbtest,mesh2d,49.677451
greedy,lbtest,mesh2d,49.430227
greedy,lbtest,mesh2d,49.696359
greedy,lbtest,mesh2d,49.719252
greedy,lbtest,mesh2d,49.471057
greedy,lbtest,mesh2d,49.478619
greedy,lbtest,mesh3d,50.910551
greedy,lbtest,mesh3d,51.189260
greedy,lbtest,mesh3d,50.873833
greedy,lbtest,mesh3d,51.003650
greedy,lbtest,mesh3d,50.980126
greedy,lbtest,mesh3d,51.223672
greedy,lbtest,mesh3d,51.131032
greedy,lbtest,mesh3d,51.041370
greedy,lbtest,mesh3d,50.845829
greedy,lbtest,mesh3d,51.096654
greedy,lbtest,mesh3d,51.195453
greedy,lbtest,mesh3d,51.219770
greedy,lbtest,mesh3d,51.099146
greedy,lbtest,mesh3d,51.097534
greedy,lbtest,mesh3d,51.119634
greedy,lbtest,ring,46.680090
greedy,lbtest,ring,46.315741
greedy,lbtest,ring,46.627293
greedy,lbtest,ring,46.389316
greedy,lbtest,ring,46.617643
greedy,lbtest,ring,46.540817
greedy,lbtest,ring,46.623075
greedy,lbtest,ring,46.302785
greedy,lbtest,ring,46.726505
greedy,lbtest,ring,46.593824
greedy,lbtest,ring,46.450719
greedy,lbtest,ring,46.333426
greedy,lbtest,ring,46.644276
greedy,lbtest,ring,46.572402
greedy,lbtest,ring,46.697269
nolb,lbtest,mesh2d,53.155370
nolb,lbtest,mesh2d,53.213248
nolb,lbtest,mesh2d,53.152007
nolb,lbtest,mesh2d,53.180874
nolb,lbtest,mesh2d,53.160662
nolb,lbtest,mesh2d,53.236228
nolb,lbtest,mesh2d,53.116493
nolb,lbtest,mesh2d,53.200095
nolb,lbtest,mesh2d,53.196277
nolb,lbtest,mesh2d,53.187843
nolb,lbtest,mesh2d,53.166089
nolb,lbtest,mesh2d,53.203472
nolb,lbtest,mesh2d,53.154419
nolb,lbtest,mesh2d,53.079165
nolb,lbtest,mesh2d,53.185859
nolb,lbtest,mesh3d,53.856724
nolb,lbtest,mesh3d,53.799532
nolb,lbtest,mesh3d,53.966093
nolb,lbtest,mesh3d,53.984954
nolb,lbtest,mesh3d,53.936821
nolb,lbtest,mesh3d,53.932431
nolb,lbtest,mesh3d,53.948112
nolb,lbtest,mesh3d,53.999640
nolb,lbtest,mesh3d,53.982333
nolb,lbtest,mesh3d,53.900868
nolb,lbtest,mesh3d,53.924800
nolb,lbtest,mesh3d,53.951099
nolb,lbtest,mesh3d,53.980223
nolb,lbtest,mesh3d,53.949613
nolb,lbtest,mesh3d,53.996965
nolb,lbtest,ring,52.429561
nolb,lbtest,ring,52.435411
nolb,lbtest,ring,52.420946
nolb,lbtest,ring,52.432142
nolb,lbtest,ring,52.442361
nolb,lbtest,ring,52.427626
nolb,lbtest,ring,52.434632
nolb,lbtest,ring,52.428568
nolb,lbtest,ring,52.418168
nolb,lbtest,ring,52.425481
nolb,lbtest,ring,52.417685
nolb,lbtest,ring,52.448379
nolb,lbtest,ring,52.429129
nolb,lbtest,ring,52.446583
nolb,lbtest,ring,52.415780
pdlb,lbtest,mesh2d,47.154947
pdlb,lbtest,mesh2d,47.024975
pdlb,lbtest,mesh2d,47.782127
pdlb,lbtest,mesh2d,47.361219
pdlb,lbtest,mesh2d,47.640262
pdlb,lbtest,mesh2d,47.603650
pdlb,lbtest,mesh2d,47.547694
pdlb,lbtest,mesh2d,47.173616
pdlb,lbtest,mesh2d,47.573514
pdlb,lbtest,mesh2d,47.294480
pdlb,lbtest,mesh2d,47.154366
pdlb,lbtest,mesh2d,47.414657
pdlb,lbtest,mesh2d,47.103758
pdlb,lbtest,mesh2d,47.422035
pdlb,lbtest,mesh2d,47.316669
pdlb,lbtest,mesh3d,47.919682
pdlb,lbtest,mesh3d,47.998594
pdlb,lbtest,mesh3d,47.678463
pdlb,lbtest,mesh3d,47.966642
pdlb,lbtest,mesh3d,47.918216
pdlb,lbtest,mesh3d,47.881449
pdlb,lbtest,mesh3d,47.917756
pdlb,lbtest,mesh3d,48.177623
pdlb,lbtest,mesh3d,47.951530
pdlb,lbtest,mesh3d,48.188865
pdlb,lbtest,mesh3d,48.068517
pdlb,lbtest,mesh3d,47.873494
pdlb,lbtest,mesh3d,47.965130
pdlb,lbtest,mesh3d,47.798627
pdlb,lbtest,mesh3d,48.309293
pdlb,lbtest,ring,48.375822
pdlb,lbtest,ring,46.869545
pdlb,lbtest,ring,46.650772
pdlb,lbtest,ring,46.546587
pdlb,lbtest,ring,46.875222
pdlb,lbtest,ring,46.613729
pdlb,lbtest,ring,47.446361
pdlb,lbtest,ring,46.271000
pdlb,lbtest,ring,46.768575
pdlb,lbtest,ring,46.616269
pdlb,lbtest,ring,46.514498
pdlb,lbtest,ring,46.565970
pdlb,lbtest,ring,47.045402
pdlb,lbtest,ring,46.494049
pdlb,lbtest,ring,46.585875
refine,lbtest,mesh2d,46.315199
refine,lbtest,mesh2d,46.282190
refine,lbtest,mesh2d,46.291550
refine,lbtest,mesh2d,46.327217
refine,lbtest,mesh2d,46.305929
refine,lbtest,mesh2d,46.288741
refine,lbtest,mesh2d,46.260076
refine,lbtest,mesh2d,46.305930
refine,lbtest,mesh2d,46.286343
refine,lbtest,mesh2d,46.236450
refine,lbtest,mesh2d,46.332342
refine,lbtest,mesh2d,46.255613
refine,lbtest,mesh2d,46.299821
refine,lbtest,mesh2d,46.305531
refine,lbtest,mesh2d,46.298614
refine,lbtest,mesh3d,47.098875
refine,lbtest,mesh3d,47.118635
refine,lbtest,mesh3d,47.284012
refine,lbtest,mesh3d,47.175177
refine,lbtest,mesh3d,47.289464
refine,lbtest,mesh3d,47.559039
refine,lbtest,mesh3d,47.147420
refine,lbtest,mesh3d,47.264852
refine,lbtest,mesh3d,47.424642
refine,lbtest,mesh3d,47.159396
refine,lbtest,mesh3d,47.203193
refine,lbtest,mesh3d,47.147380
refine,lbtest,mesh3d,47.135268
refine,lbtest,mesh3d,47.115647
refine,lbtest,mesh3d,47.165615
refine,lbtest,ring,45.520478
refine,lbtest,ring,45.503197
refine,lbtest,ring,45.500168
refine,lbtest,ring,45.509488
refine,lbtest,ring,45.498110
refine,lbtest,ring,45.490205
refine,lbtest,ring,45.382581
refine,lbtest,ring,45.491375
refine,lbtest,ring,45.495828
refine,lbtest,ring,45.496014
refine,lbtest,ring,45.475996
refine,lbtest,ring,45.498060
refine,lbtest,ring,45.500368
refine,lbtest,ring,45.501306
refine,lbtest,ring,45.501059
